STATE FIPS,COUNTY FIPS,STATE/TERRITORY NAME,COUNTY NAME,NAME,name_state, 2010 POPULATION , 2015 POPULATION , LAND AREA (Sqare Miles) 
06,049,California,Modoc County,Modoc,Modoc California," 9,686 "," 8,965 "," 3,917.770 "
06,051,California,Mono County,Mono,Mono California," 14,202 "," 13,909 "," 3,048.982 "
06,053,California,Monterey County,Monterey,Monterey California," 415,057 "," 433,898 "," 3,280.595 "
06,055,California,Napa County,Napa,Napa California," 136,484 "," 142,456 ", 748.362 
06,057,California,Nevada County,Nevada,Nevada California," 98,764 "," 98,877 ", 957.772 
06,059,California,Orange County,Orange,Orange California," 3,010,232 "," 3,169,776 ", 790.568 
06,061,California,Placer County,Placer,Placer California," 348,432 "," 375,391 "," 1,407.009 "
06,063,California,Plumas County,Plumas,Plumas California," 20,007 "," 18,409 "," 2,553.043 "
06,065,California,Riverside County,Riverside,Riverside California," 2,189,641 "," 2,361,026 "," 7,206.480 "
06,067,California,Sacramento County,Sacramento,Sacramento California," 1,418,788 "," 1,501,335 ", 964.644 
06,069,California,San Benito County,San Benito,San Benito California," 55,269 "," 58,792 "," 1,388.710 "
06,071,California,San Bernardino County,San Bernardino,San Bernardino California," 2,035,210 "," 2,128,133 "," 20,056.938 "
06,073,California,San Diego County,San Diego,San Diego California," 3,095,313 "," 3,299,521 "," 4,206.630 "
06,075,California,San Francisco County,San Francisco,San Francisco California," 805,235 "," 864,816 ", 46.873 
06,077,California,San Joaquin County,San Joaquin,San Joaquin California," 685,306 "," 726,106 "," 1,391.322 "
06,079,California,San Luis Obispo County,San Luis Obispo,San Luis Obispo California," 269,637 "," 281,401 "," 3,298.567 "
06,081,California,San Mateo County,San Mateo,San Mateo California," 718,451 "," 765,135 ", 448.408 
06,083,California,Santa Barbara County,Santa Barbara,Santa Barbara California," 423,895 "," 444,769 "," 2,735.085 "
06,085,California,Santa Clara County,Santa Clara,Santa Clara California," 1,781,642 "," 1,918,044 "," 1,290.100 "
06,087,California,Santa Cruz County,Santa Cruz,Santa Cruz California," 262,382 "," 274,146 ", 445.170 
06,089,California,Shasta County,Shasta,Shasta California," 177,223 "," 179,533 "," 3,775.402 "
06,091,California,Sierra County,Sierra,Sierra California," 3,240 "," 2,967 ", 953.214 
06,093,California,Siskiyou County,Siskiyou,Siskiyou California," 44,900 "," 43,554 "," 6,277.887 "
06,095,California,Solano County,Solano,Solano California," 413,344 "," 436,092 ", 821.765 
06,097,California,Sonoma County,Sonoma,Sonoma California," 483,878 "," 502,146 "," 1,575.849 "
06,099,California,Stanislaus County,Stanislaus,Stanislaus California," 514,453 "," 538,388 "," 1,494.827 "
06,101,California,Sutter County,Sutter,Sutter California," 94,737 "," 96,463 ", 602.410 
06,103,California,Tehama County,Tehama,Tehama California," 63,463 "," 63,308 "," 2,949.709 "
06,105,California,Trinity County,Trinity,Trinity California," 13,786 "," 13,069 "," 3,179.254 "
06,107,California,Tulare County,Tulare,Tulare California," 442,179 "," 459,863 "," 4,824.215 "
06,109,California,Tuolumne County,Tuolumne,Tuolumne California," 55,365 "," 53,709 "," 2,220.884 "
06,111,California,Ventura County,Ventura,Ventura California," 823,318 "," 850,536 "," 1,843.133 "
06,113,California,Yolo County,Yolo,Yolo California," 200,849 "," 213,016 "," 1,014.689 "
06,115,California,Yuba County,Yuba,Yuba California," 72,155 "," 74,492 ", 631.839 
